Achievements Name,実績日本語名,国家タグ,難易度,DLC,達成条件,日本語Wiki補足説明,英語Wiki補足説明,英語Wikiリンク
Our Other Place in the Sun,新たな陽の当たる場所,GER,Medium,WtT,帝政ドイツで、カリブ海の島を征服する。,元ネタはドイツ帝国の外相ビューローの言葉で、植民地獲得競争に乗り出したドイツ帝国の世界政策を端的に現す単語として知られている。,ドイツは「皇帝の帰還」ルートに従う必要があります。オランダからキュラソー島を奪取しても、南アメリカの一部とみなされるため、この実績は達成されません。,https://hoi4.paradoxwikis.com/Our_Other_Place_in_the_Sun

Australia-Hungary,オーストラリア＝ハンガリー,AST,Easy,WtT,オーストラリアで、ハンガリーの中核州をすべて所有する。,オーストラリア（Australia）とオーストリア（Austria）を間違えるのは万国共通のジョーク。,,https://hoi4.paradoxwikis.com/Australia-Hungary

My Ships Don't Lie,お船は嘘つかない,COL,Medium,WtT,大コロンビアを形成し、主力艦を20隻保有する。,コロンビア人シンガーソングライターのシャキーラの代表曲「Hips Don't Lie（お尻は嘘つかない）」を掛けたジョーク,ボリバル連合の復興を決定する必要がある。,https://hoi4.paradoxwikis.com/My_Ships_Don%27t_Lie

I Swear I'm Not a Byzantophile,俺はビザンツ狂じゃない,GRE,Hard,WtT,ギリシャで、ビザンツ帝国を形成する。,,『Battle for the Bosporus』で導入されたギリシャ系フォーカスツリーにおいて、ビザンツの道筋を辿るのが最も容易である。イスタンブールはコンスタンティノープルであることを再認識せよ。,

Monarchy is Back in Fashion,ファッション君主制,GER,Easy,WtT,ドイツで、皇帝を帰国させ、ヴィルヘルムII世戴冠中にムッソリーニを暗殺してヴィットーリオ・エマヌエーレに支配させる。ヴィルヘルムIII世になるとダメ。,ファッショとファッションを掛けている,"「神々の黄昏」を無効化する必要があります。
「皇帝の帰還」と「真の敵に焦点を当てる」の道筋を、ヒトラー反対分岐で進み、「ムッソリーニ暗殺」の焦点に到達するまで続行してください（AIは常にムッソリーニ暗殺に同意します）。ヴィルヘルム2世が指導者であり、焦点達成前に死亡してはなりません。注：非歴史的なAIが介入なしにムッソリーニを追放しヴィットーリオ・エマヌエーレを国王に据える選択をした場合、ヴィルヘルム2世をドイツ帝国王位に就けるだけで実績を獲得可能です。",

Team America,チーム★アメリカ,USA,Easy,MtG,アメリカで、パリに核を落とす。,"元ネタは同名の映画。サウスパーク制作陣による風刺コメディ。
国際警察「チーム・アメリカ」の活躍により、パリに潜む邪悪なアラブ人テロリスト達はパリの街もろとも撲滅されたのであった。",民主国家として、戦略爆撃機と戦闘機を中心に大量の航空機を生産し、核技術を急いで開発せよ。ドイツ軍がパリを占領する。連合国側の場合、核技術が完成し核兵器1発が使用可能になったら、航空機をイギリス諸島の飛行場へ移動させ、北フランスへの出撃任務を設定せよ。制空権を確保し、準備が整い次第パリへ核攻撃を実行せよ。,

History Repeated Itself,歴史は繰り返す,USA,Medium,MtG,アメリカで、第2次南北戦争でアメリカ連合国に勝利する。,,完全な人種隔離撤廃法または労働組合代表法のいずれかを成立させると、南部連合との内戦が勃発する。合衆国が戦争に勝利するため、事前にWPA部門を完成させ、アメリカン・ドリームを保証せよ。,

Georgia On My Mind,我が心のジョージア,USA,Hard,MtG,"アメリカで、3つの""ジョージア""（ジョージア・グルジア・サウスジョージア）を占領する。","「我が心のジョージア」は、ジャズのスタンダード・ナンバーの一つである。アメリカ・ジョージア州の州歌にもなっている。
ビートルズの曲「バック・イン・ザ・U.S.S.R.」にも同じフレーズが登場するように、ジョージアとグルジアを引っ掛けたジョークは古くからある。
EU4にも同名かつ、ほぼ同内容の実績が存在している。",枢軸国との協力がこれを達成する最も簡単な手段である。枢軸国が連合国とコミンテルンを降伏させるのを支援し、サウスジョージア（720）とジョージア（231）を奪取せよ。サウスジョージア（720）は「モンロー主義の再確認」フォーカスでも獲得可能である。,

To Arms in Dixie!,ディキシー戦闘準備！,USA,Very Easy,MtG,アメリカで、アメリカ連合国（南部連合）として第2次南北戦争を始める。,"ディキシー（Dixie）はアメリカ合衆国南部諸州の通称。""To Arms in Dixie!""はアメリカ連合国の（非公式）国歌『ディキシーの国（Dixie's Land）』のバリエーションのうち、軍歌版のサビ。",アメリカ・ファーストを完了し、ファシスト顧問を雇う。準備が整い可能になったら、銀シャツ団との同盟を完了し、内戦へとつながるイベント連鎖を発動させる。最良の結果を得るには、ドイツ労働者同盟との協力を完了し、自由軍団を募集すること。,

Arsenal of Democracy,民主主義の兵器廠,USA,Easy,MtG,アメリカで、300より多い軍需工場を持つ。,元ネタはフランクリン・ルーズベルトの有名な演説より。,この実績を獲得する最も簡単な方法は、歴史モードでアメリカ合衆国を選択し、可能な限り多くの軍事工場を建設することです。フォーカスツリーの「民主主義の兵器庫」分岐では軍事工場を無料で提供するため、必ずこれを完了させ、さらに産業を強化するWPA分岐も達成してください。,

"Underpaid, Undersexed, and Under Eisenhower",ケチでインポなアイゼンハワーのしもべ,USA,Easy,MtG,アメリカで、連合国の盟主となり、イギリスから50個師団より多くの遠征軍を得る。,"戦時下の不景気なイギリスにおいて、ヒーロー気取りでイギリス人女性を侍らす陽気なアメリカ人は、イギリス人男性にとっては鼻につく存在であった。 イギリス人はアメリカ兵を「overpaid, overfed, oversexed and over here」、アメリカ兵はイギリス人を「underpaid, undersexed and under Eisenhower」とお互い貶しあったらしい。","歴史モードで連合国側としてプレイするだけです。イギリスよりも50％多い工場と戦力化済み兵力を必要としますが、数年かけて増強すれば問題ないでしょう。陣営リーダーになったら、侵攻命令を作成し、軍隊の下にあるボタンを押して51個遠征軍を要請し、実績を獲得してください。
注：英国は自軍が約160個師団を保有している場合、必要な51個師団の派遣を承諾します。自軍の部隊を遠征軍として派遣し、英国側の師団数をその数値以上に増やすことが可能です。",

Last for a Thousand Years,千年間にもわたり,ENG,Medium,MtG,イギリスで、完全な大英帝国の連邦化を達成する。（NF帝国連邦）,"チャーチルの1940年6月18日の演説「だからこそ我らの責務に身を引き締め、大英帝国と英連邦が千年続いたのちにもなお『このころが一番よかった』と言われるように振舞おうではないか（Let us therefore brace ourselves to our duty, and so bear ourselves that if the British Empire and its Commonwealth last for a thousand years, men will still say, ""This was their finest hour"".）」より。パリ陥落の5日後。",あらゆるイデオロギーで実行可能。帝国会議開催前に、関係改善を図り、数百の政治力を蓄えておくこと。開始前に300～400の政治力を蓄えておくと良いが、時間と労力を割けるなら600～700程度あれば成功が確実となる。,

Britzkrieg,イギリス電撃戦,ENG,Easy,MtG,イギリスで、エドワード8世を元首にドイツと同盟し、パリを完全に支配する。,ドイツの電撃戦（ブリッツクリーク：Blitzkrieg）にイギリス（British）を掛けたシャレ,フォーカスツリーに従ってドイツと同盟を結ぶ。フランスに対して正当化を行い、ノルマンディーへの海上侵攻を開始する。ドイツを戦争に呼び込む必要はない。フランスが傀儡国家となった場合、実績は発生しない。確実にすべてのコア、領土、植民地を併合すること。,
